Date,Close/Last,Volume,Open,High,Low
08/17/2021,$56.01,11987540,$55.87,$56.02,$55.625
08/16/2021,$56.28,14408720,$56.3,$56.43,$55.93
08/13/2021,$56.47,10841710,$56.39,$56.62,$56.26
08/12/2021,$56.39,11214980,$55.85,$56.45,$55.66
08/11/2021,$55.86,12604660,$55.89,$56.01,$55.6
08/10/2021,$55.61,10441900,$55.5,$55.67,$55.25
08/09/2021,$55.47,8707363,$55.82,$56.07,$55.4
08/06/2021,$55.59,18386120,$55.47,$55.95,$55.15
08/05/2021,$55.76,10785170,$55.52,$55.98,$55.5
08/04/2021,$55.69,11662400,$56.37,$56.37,$55.47
08/03/2021,$56.25,17357430,$55.535,$56.415,$55.27
08/02/2021,$55.45,12468820,$55.597,$55.94,$55.26
07/30/2021,$55.37,13438790,$55.08,$55.49,$55.01
07/29/2021,$55.07,10680230,$55,$55.35,$54.9
07/28/2021,$54.77,18835700,$55.46,$55.52,$54.41
07/27/2021,$55.28,14738680,$55.38,$55.41,$54.79
07/26/2021,$55.47,10097440,$55.1315,$55.65,$55.1315
07/23/2021,$55.23,13042470,$54.89,$55.34,$54.51
07/22/2021,$54.54,15729800,$53.905,$54.55,$53.78
07/21/2021,$53.88,14068610,$53.82,$53.9,$53.42
07/20/2021,$53.58,17250160,$53.28,$53.93,$53.19
07/19/2021,$53.06,19925280,$53.67,$53.695,$52.73
07/16/2021,$53.7,14144920,$53.88,$54.4092,$53.65
07/15/2021,$53.65,14952370,$53.84,$53.87,$53.24
07/14/2021,$54.09,17113680,$53.5,$54.2,$53.34
07/13/2021,$53.32,9927531,$53.34,$53.58,$53.2
07/12/2021,$53.23,14000840,$54.04,$54.04,$53.13
07/09/2021,$53.74,14673400,$53.36,$53.93,$53.29
07/08/2021,$53.26,15691810,$53.16,$53.72,$52.91
07/07/2021,$53.26,14411560,$53.07,$53.3,$52.67
07/06/2021,$52.98,19394470,$53.216,$53.36,$52.34
07/02/2021,$53.54,15068260,$53.19,$53.62,$52.835
07/01/2021,$53.44,15074800,$53.05,$53.6,$53
06/30/2021,$53,15826640,$52.95,$53.07,$52.62
06/29/2021,$52.91,10926110,$52.89,$53.1877,$52.77
06/28/2021,$52.96,14008660,$53.16,$53.29,$52.92
06/25/2021,$53.06,16682660,$52.77,$53.195,$52.6466
06/24/2021,$52.78,13974290,$52.94,$53.05,$52.61
06/23/2021,$52.76,14749810,$53.27,$53.29,$52.59
06/22/2021,$53.26,16451240,$53.3,$53.36,$52.81
06/21/2021,$53.18,17682230,$52.365,$53.41,$52.29
06/18/2021,$52.07,35758260,$52.805,$52.84,$51.88
06/17/2021,$53.13,18288400,$53.41,$53.545,$53.01
06/16/2021,$53.47,15477900,$53.85,$53.92,$53.13
06/15/2021,$53.79,12542570,$54.23,$54.32,$53.73
06/14/2021,$54.17,15131360,$54.39,$54.5278,$53.525
06/11/2021,$54.77,17134050,$55.19,$55.35,$54.54
06/10/2021,$55.03,22183540,$54.43,$55.08,$54.27
06/09/2021,$54.02,14861230,$54.18,$54.42,$53.935
06/08/2021,$54.13,15329690,$53.97,$54.39,$53.89
06/07/2021,$53.92,14899750,$54.32,$54.44,$53.79
06/04/2021,$54.07,11676700,$53.435,$54.17,$53.435
06/03/2021,$53.33,17593100,$52.8,$53.555,$52.62
06/02/2021,$52.96,14529320,$52.65,$52.99,$52.4
06/01/2021,$52.62,15741980,$52.96,$53.315,$52.43
05/28/2021,$52.9,14864350,$53.18,$53.22,$52.835
05/27/2021,$52.92,56216070,$52.93,$53.35,$52.58
05/26/2021,$52.91,18671190,$53.35,$53.61,$52.82
05/25/2021,$53.31,20657180,$53.37,$53.58,$53.14
05/24/2021,$53.39,21128860,$52.96,$53.765,$52.79
05/21/2021,$52.43,24468370,$52.765,$52.93,$52.24
05/20/2021,$52.85,48830760,$50.41,$52.97,$50.1
05/19/2021,$52.47,29187940,$51.88,$52.66,$51.86
05/18/2021,$52.93,20177200,$52.8,$53.34,$52.74
05/17/2021,$52.94,15728680,$52.76,$53.15,$52.68
05/14/2021,$52.9,14789380,$52.93,$53.215,$52.6
05/13/2021,$52.49,15868660,$52.11,$52.805,$51.88
05/12/2021,$51.6,22123310,$52.18,$52.43,$51.4661
05/11/2021,$52.83,20220910,$53.1,$53.11,$52.11
05/10/2021,$53.16,23845560,$53.97,$54.14,$53.16
05/07/2021,$53.43,24146010,$52.48,$53.675,$52.22
05/06/2021,$52.44,27106820,$51.07,$52.71,$50.95
05/05/2021,$51.13,16205350,$50.99,$51.25,$50.68
05/04/2021,$50.71,18164790,$51.11,$51.23,$50.295
05/03/2021,$51.17,13465910,$51.21,$51.4,$50.81
04/30/2021,$50.91,19930550,$51.22,$51.23,$50.41
04/29/2021,$51.46,13916580,$51.18,$51.6,$50.98
04/28/2021,$51.11,14984040,$51.56,$51.77,$50.92
04/27/2021,$51.37,13600990,$51.58,$51.67,$51.35
04/26/2021,$51.64,13778190,$51.65,$51.7685,$51.5
04/23/2021,$51.91,14017740,$51.5035,$52.13,$51.1773
04/22/2021,$51.5,15564760,$51.81,$52.0865,$51.38
04/21/2021,$51.93,14015530,$51.84,$52.07,$51.48
04/20/2021,$51.79,21257480,$52.59,$52.79,$51.595
04/19/2021,$52.85,20245610,$52.525,$52.96,$52.49
04/16/2021,$52.8,28327910,$52.45,$53.18,$52.26
04/15/2021,$51.64,17869820,$51.76,$51.94,$51.37
04/14/2021,$51.37,15376590,$51.51,$51.68,$51.14
04/13/2021,$51.66,13353170,$51.64,$51.88,$51.34
04/12/2021,$51.57,16441730,$52.07,$52.16,$51.47
04/09/2021,$52.09,13135750,$51.83,$52.15,$51.675
04/08/2021,$51.91,15111250,$51.94,$52,$51.45
04/07/2021,$51.77,15783650,$52.01,$52.14,$51.58
04/06/2021,$52.025,15126110,$51.98,$52.22,$51.78
04/05/2021,$52.41,19860910,$51.628,$52.92,$51.628
04/01/2021,$51.98,17896170,$51.75,$52.07,$51.35
03/31/2021,$51.71,22212380,$51.83,$52.05,$51.545
03/30/2021,$51.77,22465100,$52.11,$52.29,$51.175
03/29/2021,$52.52,25032760,$52.4008,$52.9399,$52.28
03/26/2021,$52.57,31996950,$50.6,$52.64,$50.56
03/25/2021,$50.51,34537720,$50.575,$51.4,$50.285
03/24/2021,$49.65,26444740,$49.94,$50.4454,$49.62
03/23/2021,$50.01,28328170,$50.02,$50.68,$49.9
03/22/2021,$50.3,28813880,$48.94,$50.38,$48.94
03/19/2021,$48.98,65366840,$48.71,$49.22,$48.32
03/18/2021,$48.8,18417640,$48.52,$49.57,$48.515
03/17/2021,$49.42,18326920,$49.61,$49.61,$48.89
03/16/2021,$49.67,17282260,$49.19,$49.74,$49.19
03/15/2021,$49.41,15526110,$48.9,$49.44,$48.9
03/12/2021,$48.82,15196530,$48.81,$48.99,$48.47
03/11/2021,$48.8,21976560,$48.51,$49.08,$48.225
03/10/2021,$48.29,19841510,$48.47,$48.79,$48.19
03/09/2021,$47.89,26512660,$47.824,$48.37,$47.72
03/08/2021,$47.51,34824530,$46.24,$48.4,$46.2
03/05/2021,$46.25,33197580,$45.446,$46.74,$45.27
03/04/2021,$44.56,24653500,$45.135,$45.47,$44.15
03/03/2021,$45.13,16851130,$45.43,$45.53,$45
03/02/2021,$45.515,14832970,$45.931,$46.08,$45.415
03/01/2021,$45.92,17396070,$45.22,$46.22,$45.22
02/26/2021,$44.87,22144950,$45.58,$45.78,$44.76
02/25/2021,$45.52,21916720,$45.585,$46.24,$45.24
02/24/2021,$45.74,17823650,$45.24,$45.8,$45.035
02/23/2021,$45.51,19714930,$45.26,$45.78,$45.1
02/22/2021,$45.43,21435790,$45.29,$45.68,$44.82
02/19/2021,$45.68,25117700,$46.54,$46.61,$45.58
02/18/2021,$46.34,16867520,$46.39,$46.4,$45.69
02/17/2021,$46.25,13301380,$46.315,$46.4,$45.865
02/16/2021,$46.51,18539030,$47.26,$47.26,$46.4
02/12/2021,$47.29,15239820,$47.425,$47.69,$46.91
02/11/2021,$47.58,18589910,$47.349,$47.91,$47.1978
02/10/2021,$47.24,44540880,$46.15,$47.41,$45.83
02/09/2021,$48.5,24795020,$48.766,$48.8317,$48.41
02/08/2021,$48.94,25215440,$48.56,$49.34,$48.56
02/05/2021,$48.08,25488560,$47.57,$48.34,$47.5
02/04/2021,$47.25,22285660,$45.87,$47.32,$45.77
02/03/2021,$45.77,13173640,$45.75,$46.16,$45.54
02/02/2021,$45.83,16520930,$45.52,$45.94,$45.43
02/01/2021,$45.4,16776850,$44.92,$45.625,$44.66
01/29/2021,$44.58,22608100,$44.85,$45.37,$44.48
01/28/2021,$45.34,21166030,$45.914,$46.27,$45.3
01/27/2021,$45.7,29634490,$45.24,$46.46,$45.08
01/26/2021,$45.26,13087750,$44.885,$45.35,$44.77
01/25/2021,$45.03,16581260,$45.04,$45.17,$44.71
01/22/2021,$44.77,14643420,$44.75,$44.885,$44.23
01/21/2021,$45.11,17495890,$45.2,$45.235,$44.72
01/20/2021,$45.34,16499410,$45.33,$45.5,$45.14
01/19/2021,$45.19,28868850,$45.33,$45.63,$44.77
01/15/2021,$45.43,30271670,$44.96,$45.65,$44.88
01/14/2021,$45.15,22333480,$44.87,$45.6,$44.85
01/13/2021,$45.36,19367270,$45.29,$45.965,$45.18
01/12/2021,$45.79,20145040,$45.3,$45.925,$44.96
01/11/2021,$45.36,25062260,$45.15,$45.95,$45.02
01/08/2021,$45.06,20936280,$44.48,$45.41,$44.25
01/07/2021,$44.96,18218760,$44.2,$45.105,$44.1659
01/06/2021,$44.4,21823110,$44.13,$44.87,$43.89
01/05/2021,$43.98,17763660,$43.68,$44.07,$43.38
01/04/2021,$43.96,24392540,$44.31,$44.37,$43.35
12/31/2020,$44.75,15105480,$44.38,$44.84,$44.16
12/30/2020,$44.48,11043110,$44.74,$45.06,$44.44
12/29/2020,$44.64,11828960,$44.97,$45.245,$44.53
12/28/2020,$44.92,13458430,$44.93,$45.34,$44.72
12/24/2020,$44.54,5720538,$44.45,$44.59,$44.23
12/23/2020,$44.375,12032640,$44.65,$44.8029,$44.35
12/22/2020,$44.69,16031550,$44.44,$45.07,$44.44
12/21/2020,$44.88,19865300,$44.47,$44.955,$44.065
12/18/2020,$45.44,41026970,$44.9,$45.57,$44.77
12/17/2020,$44.82,16141600,$44.91,$44.93,$44.6
12/16/2020,$44.72,16191980,$44.695,$45.14,$44.525
12/15/2020,$44.72,18165250,$44.39,$44.795,$44.135
12/14/2020,$44.24,16112330,$44.27,$44.91,$44.15
12/11/2020,$44.32,14577710,$43.94,$44.33,$43.72
12/10/2020,$44.32,17741490,$44.54,$44.605,$44.11
12/09/2020,$44.69,22679750,$44.47,$44.83,$44.36
12/08/2020,$44.37,13348460,$44.206,$44.525,$43.93
12/07/2020,$44.35,14086830,$44.287,$44.49,$43.91
12/04/2020,$44.38,17319800,$43.89,$44.51,$43.89
12/03/2020,$44.11,27710710,$43.78,$44.14,$43.595
12/02/2020,$43.89,17422160,$43.39,$43.96,$43.35
12/01/2020,$43.54,23948790,$43.01,$44.07,$43.01
11/30/2020,$43.02,34741650,$42.44,$43.05,$42.41
11/27/2020,$42.7,10769520,$42.855,$42.98,$42.64
11/25/2020,$42.5,22617660,$42.78,$42.8,$42.21
11/24/2020,$42.61,22849730,$42.14,$42.71,$41.9
11/23/2020,$41.64,19656680,$41.03,$41.8,$41.02
11/20/2020,$40.97,19778950,$41.05,$41.39,$40.92
11/19/2020,$41.17,22177710,$41,$41.37,$40.77
11/18/2020,$41.32,21327710,$41.9,$42.2386,$41.255
11/17/2020,$41.88,23140910,$41.92,$42.345,$41.62
11/16/2020,$42.54,34572650,$41.74,$42.59,$41.35
11/13/2020,$41.4,49120100,$41.2,$41.52,$40.56
11/12/2020,$38.67,29543620,$38.98,$39.39,$38.395
11/11/2020,$39.33,27332810,$39.01,$39.45,$38.44
11/10/2020,$38.72,31514510,$38.21,$39.025,$38.167
11/09/2020,$38.2,42649540,$39.92,$40.23,$38.12
11/06/2020,$37.53,19475290,$37.56,$37.6,$37.08
11/05/2020,$37.23,23149700,$37.02,$37.3,$36.91
11/04/2020,$36.57,30121920,$37.031,$37.3,$36.5
11/03/2020,$36.68,27342890,$36.36,$37.33,$36.3
11/02/2020,$35.9,23483100,$36.19,$36.35,$35.67
10/30/2020,$35.9,29159660,$35.595,$35.93,$35.49
10/29/2020,$35.69,35331970,$35.51,$36.07,$35.28
10/28/2020,$35.71,34561490,$36.315,$36.51,$35.68
10/27/2020,$36.87,37911470,$37.38,$37.5,$36.59
10/26/2020,$37.67,29146550,$38.4,$38.43,$37.15
10/23/2020,$38.82,15556080,$38.93,$38.97,$38.65
10/22/2020,$38.82,20399040,$38.85,$38.96,$38.38
10/21/2020,$39.06,17016270,$39.31,$39.57,$38.98
10/20/2020,$39.2,16564890,$39.44,$39.51,$39.03
10/19/2020,$39.3,19600470,$40.15,$40.38,$39.16
10/16/2020,$40.16,21295120,$39.88,$40.3,$39.55
10/15/2020,$39.97,15456970,$39.47,$40,$39.35
10/14/2020,$39.89,16444690,$39.85,$40.42,$39.76
10/13/2020,$39.81,23438270,$40.54,$40.61,$39.71
10/12/2020,$40.36,22757250,$39.93,$40.53,$39.63
10/09/2020,$39.85,16167470,$40.145,$40.23,$39.72
10/08/2020,$39.79,19031350,$39.8,$40.18,$39.66
10/07/2020,$39.4,20593710,$38.98,$39.58,$38.78
10/06/2020,$38.57,28430810,$38.5,$39.35,$38.4
10/05/2020,$38.57,26929050,$38.48,$38.79,$38.285
10/02/2020,$38.27,24492960,$38.046,$38.55,$37.97
10/01/2020,$38.8,20763540,$39.1,$39.31,$38.565
09/30/2020,$39.39,27113200,$39.09,$39.7,$39.02
09/29/2020,$39.06,16476890,$39.07,$39.375,$38.83
09/28/2020,$39.13,24275700,$39.195,$39.29,$38.79
09/25/2020,$38.45,22966650,$37.76,$38.54,$37.62
09/24/2020,$37.85,30910350,$38,$38.16,$37.6
09/23/2020,$38.28,24843240,$39.23,$39.39,$38.18
09/22/2020,$39.32,17656820,$39.18,$39.46,$38.88
09/21/2020,$39.04,28494970,$39.31,$39.47,$38.69
09/18/2020,$39.81,44450760,$40.18,$40.32,$39.575
09/17/2020,$40.37,22225920,$39.66,$40.4,$39.51
09/16/2020,$40.42,24322450,$40.72,$41.17,$40.39
09/15/2020,$40.6,19024100,$40.51,$40.839,$40.38
09/14/2020,$40.37,19866720,$40.215,$40.64,$40.05
09/11/2020,$39.88,21852960,$39.765,$40.05,$39.515
09/10/2020,$39.57,25108750,$40.03,$40.635,$39.42
09/09/2020,$40.13,23351620,$40.1,$40.475,$39.715
09/08/2020,$40,29101790,$40.05,$40.61,$39.97
09/04/2020,$40.82,34867420,$41.2,$41.43,$40.44
09/03/2020,$40.95,39288120,$41.75,$41.83,$40.67
09/02/2020,$42.42,30045680,$42.04,$42.69,$42.03
09/01/2020,$42.03,23344890,$42,$42.07,$41.5
08/31/2020,$42.22,21297990,$42.1,$42.35,$41.94
08/28/2020,$42.2,16573580,$42.14,$42.3,$42
08/27/2020,$42.29,22456770,$42.4,$42.47,$42.02
08/26/2020,$42.25,21625830,$41.65,$42.28,$41.45
08/25/2020,$41.96,15417360,$42.23,$42.3,$41.78
08/24/2020,$42.18,17742930,$42.07,$42.47,$42
08/21/2020,$42.25,17389560,$42.05,$42.3,$41.81
08/20/2020,$42.31,18443880,$41.87,$42.42,$41.73
08/19/2020,$41.87,20097420,$42.1,$42.35,$41.78
08/18/2020,$41.98,23344590,$42.13,$42.29,$41.81
